Date,Source,Site ID,POC,val,UNITS,DAILY_AQI_VALUE,Site_Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-07-19,AQS,340410007,1,5.3,ug/m3 LC,22,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-22,AQS,340410007,1,4.3,ug/m3 LC,18,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-28,AQS,340410007,1,11.1,ug/m3 LC,46,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-31,AQS,340410007,1,7.2,ug/m3 LC,30,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-03,AQS,340410007,1,4.4,ug/m3 LC,18,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-06,AQS,340410007,1,15.3,ug/m3 LC,58,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-09,AQS,340410007,1,10.3,ug/m3 LC,43,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-12,AQS,340410007,1,6.4,ug/m3 LC,27,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-15,AQS,340410007,1,14.3,ug/m3 LC,56,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-18,AQS,340410007,1,6.9,ug/m3 LC,29,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-21,AQS,340410007,1,5.3,ug/m3 LC,22,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-24,AQS,340410007,1,10.5,ug/m3 LC,44,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-27,AQS,340410007,1,18,ug/m3 LC,63,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-08-30,AQS,340410007,1,7.4,ug/m3 LC,31,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-09-02,AQS,340410007,1,7,ug/m3 LC,29,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
